folder,filename,image_index,downsample_factor,trim_percent,trim_lo,trim_hi,mu_1,hard_mean_1,median_1,mode_1,sigma_1,weight_1,n_class_1,mu_2,hard_mean_2,median_2,mode_2,sigma_2,weight_2,n_class_2,n_valid_pixels,n_sampled_pixels,n_fit_pixels,converged,n_iter
tomo_sample_2_051_rec,recon_00366.tiff,366,100,0.5,-0.000507480842352,0.000817042531562,-5.63575216859e-05,-5.63527736136e-05,-5.33053262188e-05,-5.25366599896e-05,7.17376997958e-05,0.35408904013,28772,0.000377837343875,0.000377947301716,0.000373368151486,0.000366759573352,8.03903899919e-05,0.64591095987,52446,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00367.tiff,367,100,0.5,-0.000512172664749,0.000831642098492,-5.48051607711e-05,-5.47983863689e-05,-5.26800868101e-05,-5.11819432e-05,7.04800075402e-05,0.358919672308,29165,0.000377938539776,0.000378053312004,0.000373714778107,0.000363825207136,8.10775477853e-05,0.641080327692,52053,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00368.tiff,368,100,0.5,-0.000547054069175,0.000832918361411,-5.58695528724e-05,-5.58664927585e-05,-5.33378261025e-05,-3.87883066474e-05,7.21417700654e-05,0.357048327923,29013,0.00037806238723,0.000378179124533,0.000374020484742,0.000386837210636,8.12268699127e-05,0.642951672077,52205,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00369.tiff,369,100,0.5,-0.000559572943894,0.000813935791375,-5.47829908712e-05,-5.48656734678e-05,-5.17894877703e-05,-5.11213406368e-05,7.35964782351e-05,0.357163965496,29011,0.000377810511057,0.000377880130959,0.000373489281628,0.000366543977457,8.03780992452e-05,0.642836034504,52207,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00370.tiff,370,100,0.5,-0.000542525890633,0.000811649589741,-5.4008885794e-05,-5.4093775402e-05,-5.12809838256e-05,-4.22119210206e-05,7.31057599018e-05,0.358072702216,29084,0.000378483460192,0.000378547834468,0.000374597089831,0.000384859603763,8.04528739287e-05,0.641927297784,52134,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00371.tiff,371,100,0.5,-0.00056878257019,0.000813717781566,-5.48068605638e-05,-5.4881091702e-05,-5.20483699802e-05,-4.93932658326e-05,7.29147775487e-05,0.357886267781,29070,0.000377851550926,0.000377919423561,0.000373921691789,0.000367235559469,7.98430846269e-05,0.642113732219,52148,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00372.tiff,372,100,0.5,-0.000585878046986,0.000814785787952,-5.50479762504e-05,-5.52212541612e-05,-5.16085001436e-05,-4.65700086329e-05,7.65095981912e-05,0.357364569957,29016,0.000378414837909,0.00037844110691,0.000374345399905,0.000378541220575,8.00051574804e-05,0.642635430043,52202,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00373.tiff,373,100,0.5,-0.000557914721139,0.000840703485592,-5.57093963923e-05,-5.58360529691e-05,-5.27929169039e-05,-4.7328559549e-05,7.3822585812e-05,0.358749058602,29134,0.000378809651795,0.000378856463585,0.000373864037101,0.000387762118848,8.21626864396e-05,0.641250941398,52084,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00374.tiff,374,100,0.5,-0.000590787644906,0.000848903829174,-5.56997271686e-05,-5.5900051278e-05,-5.21216752531e-05,-4.4578910158e-05,7.63072789185e-05,0.357697439684,29040,0.000378487856711,0.00037850389787,0.000374203373212,0.000392685865173,8.20677642223e-05,0.642302560316,52178,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00375.tiff,375,100,0.5,-0.000526748989068,0.00084229615255,-5.47395701148e-05,-5.48358546684e-05,-5.21274323546e-05,-6.05908397396e-05,7.20014874276e-05,0.358042705546,29080,0.00037811567894,0.000378173429323,0.000373583970941,0.000366229730685,8.20962027765e-05,0.641957294454,52138,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00376.tiff,376,100,0.5,-0.000545014107192,0.000851752291783,-5.50430275614e-05,-5.50925333663e-05,-5.21453566762e-05,-4.75816046674e-05,7.26741901074e-05,0.35478526221,28824,0.000378543634968,0.000378645768102,0.000374060124159,0.000370671157843,8.27088788738e-05,0.64521473779,52394,8204092,82040,81218,True,7
tomo_sample_2_051_rec,recon_00377.tiff,377,100,0.5,-0.000561095316079,0.000863747162221,-5.4944253757e-05,-5.49930929077e-05,-5.17292446602e-05,-6.12871255261e-05,7.29639578562e-05,0.356922767751,28998,0.000379398137338,0.000379503830899,0.000374188646674,0.00038712612797,8.415033564e-05,0.643077232249,52220,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00378.tiff,378,100,0.5,-0.000574276330008,0.000838237208372,-5.54091120236e-05,-5.55815721093e-05,-5.21456458955e-05,-7.52963080502e-05,7.54702634288e-05,0.357011198259,28989,0.000378393848068,0.000378433626074,0.000373213581042,0.000373572990294,8.3063666124e-05,0.642988801741,52229,8204092,82040,81218,True,7
tomo_sample_2_051_rec,recon_00379.tiff,379,100,0.5,-0.000583234768128,0.000841467587743,-5.49129651687e-05,-5.50836051608e-05,-5.09638357471e-05,-4.15036676255e-05,7.71685203825e-05,0.360835479555,29300,0.000378193231596,0.000378236677034,0.000373315720935,0.000346355661506,8.17392214405e-05,0.639164520445,51918,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00380.tiff,380,100,0.5,-0.000549793273094,0.000838790723355,-5.46497678603e-05,-5.47663716165e-05,-5.16870677529e-05,-6.06509538414e-05,7.4463045526e-05,0.359282427506,29180,0.000377910719885,0.000377974440632,0.000373683302314,0.000375912491185,8.16865883397e-05,0.640717572494,52038,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00381.tiff,381,100,0.5,-0.000566108601051,0.000838218446297,-5.47746926242e-05,-5.49373786546e-05,-5.15499232279e-05,-4.59554396489e-05,7.46707563296e-05,0.357599648322,29036,0.000377770535143,0.000377798656878,0.000372845417587,0.000373977546905,8.21771266151e-05,0.642400351678,52182,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00382.tiff,382,100,0.5,-0.000603567259095,0.000822649801848,-5.59468114551e-05,-5.60832747104e-05,-5.30713041371e-05,-5.29859738154e-05,7.55361819641e-05,0.354864750199,28819,0.000378002244729,0.000378057378698,0.000373595568817,0.00036218619335,8.19747277047e-05,0.645135249801,52399,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00383.tiff,383,100,0.5,-0.000619593251613,0.000856425878301,-5.66794206208e-05,-5.68227986349e-05,-5.28137134097e-05,-4.81833890774e-05,7.77155080109e-05,0.359071136811,29161,0.000378416448848,0.000378479718519,0.000373559480067,0.000367726505959,8.25079753916e-05,0.640928863189,52057,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00384.tiff,384,100,0.5,-0.000589841920591,0.00086881444091,-5.57281727398e-05,-5.58267408659e-05,-5.23174130649e-05,-5.21778896515e-05,7.51409705812e-05,0.355646967815,28889,0.000378605711215,0.000378693863372,0.000374247523723,0.000382813730562,8.42651297452e-05,0.644353032185,52329,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00385.tiff,385,100,0.5,-0.000566844275745,0.00083821512002,-5.60015307547e-05,-5.61509582332e-05,-5.29517692485e-05,-3.81676103956e-05,7.5111258708e-05,0.359084223731,29160,0.000378110486137,0.000378159976477,0.000374032286345,0.000361747860325,8.22698656705e-05,0.640915776269,52058,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00386.tiff,386,100,0.5,-0.00053214789601,0.000828630041215,-5.53016878567e-05,-5.54657901744e-05,-5.22637456015e-05,-4.65149138216e-05,7.22412725409e-05,0.353679562432,28717,0.000378343266671,0.000378365737676,0.00037399091525,0.000376461785564,8.23969557524e-05,0.646320437568,52501,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00387.tiff,387,100,0.5,-0.000582108018571,0.000866497175011,-5.51879338562e-05,-5.52142927687e-05,-5.23760099895e-05,-3.9986668731e-05,7.45674381049e-05,0.356933067619,29005,0.000379072785033,0.000379217258625,0.000374542636564,0.000376983844253,8.43187348106e-05,0.643066932381,52213,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00388.tiff,388,100,0.5,-0.000556706023053,0.000848556557903,-5.33634945935e-05,-5.34746881682e-05,-5.03518058395e-05,-4.25524281736e-05,7.38450773701e-05,0.355390076777,28867,0.000378924036784,0.000379009534378,0.000374601630028,0.000363852799517,8.37133214703e-05,0.644609923223,52351,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00389.tiff,389,100,0.5,-0.000562724830816,0.000829221996246,-5.51108624949e-05,-5.52708553543e-05,-5.24688111909e-05,-5.8256114398e-05,7.46388380378e-05,0.357190826957,29005,0.000378315438406,0.000378360116517,0.000374620576622,0.000392177872211,8.24913017777e-05,0.642809173043,52213,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00390.tiff,390,100,0.5,-0.000533827996114,0.000828071539872,-5.39974794211e-05,-5.40668836496e-05,-5.16952841281e-05,-6.41257217892e-05,7.177130238e-05,0.356918645337,28994,0.000379281662078,0.000379368160499,0.000374933544663,0.000355081491449,8.27218691011e-05,0.643081354663,52224,8204092,82040,81218,True,7
tomo_sample_2_051_rec,recon_00391.tiff,391,100,0.5,-0.000547427545825,0.000809124487569,-5.45804618467e-05,-5.47061866414e-05,-5.18950873811e-05,-5.23141842288e-05,7.41969595841e-05,0.358735865287,29135,0.000378004892685,0.000378068499065,0.000374080234906,0.000360432648291,8.19116321229e-05,0.641264134713,52083,8204093,82040,81218,True,7
tomo_sample_2_051_rec,recon_00392.tiff,392,100,0.5,-0.000548085498449,0.000837375936389,-5.37550790409e-05,-5.38640060714e-05,-5.09745823365e-05,-5.59386978002e-05,7.4335289374e-05,0.354160793058,28768,0.000377790756424,0.000377881509211,0.00037314358633,0.000378610429202,8.31919220842e-05,0.645839206942,52450,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00393.tiff,393,100,0.5,-0.000584147476184,0.000829656945134,-5.4870373997e-05,-5.50415318891e-05,-5.16627260367e-05,-4.71953239392e-05,7.67470546496e-05,0.355511726707,28869,0.000379373052177,0.000379426368109,0.000375069153961,0.000381350940741,8.29041366429e-05,0.644488273293,52349,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00394.tiff,394,100,0.5,-0.000585565327201,0.000815833134111,-5.38015345118e-05,-5.38664806956e-05,-5.08912798978e-05,-5.20499218813e-05,7.50651989178e-05,0.359025866885,29168,0.000378258285121,0.000378366375666,0.000373689035769,0.000362087565273,8.15963657645e-05,0.640974133115,52050,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00395.tiff,395,100,0.5,-0.000543834864802,0.000841453187459,-5.48551427526e-05,-5.49273189928e-05,-5.17646003573e-05,-5.78613850112e-05,7.3619709414e-05,0.357250309523,29022,0.00037849132051,0.000378588275805,0.000373550035874,0.000362919757434,8.28213001132e-05,0.642749690477,52196,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00396.tiff,396,100,0.5,-0.00058764896763,0.000829548047332,-5.41844523368e-05,-5.43054571514e-05,-5.05090647493e-05,-4.36898709028e-05,7.57877375794e-05,0.356658627634,28969,0.000377318166106,0.000377400944007,0.000372845563106,0.000365720058638,8.2455229083e-05,0.643341372366,52249,8204093,82040,81218,True,8
tomo_sample_2_051_rec,recon_00397.tiff,397,100,0.5,-0.000571341031464,0.000838880234805,-5.39691510312e-05,-5.4063575679e-05,-5.1129340136e-05,-6.16117626107e-05,7.45536962945e-05,0.358159051505,29094,0.000378031102893,0.000378125563696,0.000373918228433,0.000377889490169,8.28692851523e-05,0.641840948495,52124,8204093,82040,81218,True,8
