model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,bg_recall_mean,bg_recall_std,fg_recall_mean,fg_recall_std,fg_precision_mean,fg_precision_std,fg_f1_mean,fg_f1_std,tn,fp,fn,tp
dense_fc,0.9605633802816902,0.04386594789407727,0.9614100185528756,0.03776860402314764,0.9554578796804785,0.04790472856799341,0.9829313543599258,0.0200529896500776,0.9591836734693876,0.05772300254584063,0.9636363636363636,0.03803000120609435,0.9226896292113682,0.0985388012529682,0.9405111580925535,0.06191289697890235,236,10,4,106
random_forest,0.9521517996870109,0.04061788505296741,0.9402597402597402,0.05187490709194504,0.9432421637633966,0.04879672808257321,0.9912801484230057,0.012438731199897368,0.9714285714285715,0.027380424214283137,0.9090909090909092,0.08503766788122595,0.9346785937174953,0.06128539210212973,0.9207984553418473,0.06880382839478892,239,7,10,100
cnn3,0.9044992175273865,0.03906303993604618,0.8806011131725417,0.03886328978268192,0.8868310445090397,0.04434218431512239,0.9260111317254175,0.04645530415345268,0.9430204081632653,0.05669033649922037,0.8181818181818181,0.0718699468220086,0.8770955165692007,0.10638154878158396,0.8424522979923676,0.06028786028114907,232,14,20,90
cnn2,0.805907668231612,0.07971438549497305,0.8042448979591837,0.06484361357728469,0.7867652814500767,0.07828205982819277,0.86030426716141,0.08063189659502268,0.8084897959183674,0.10802316687370542,0.8,0.051826155686324454,0.6702022397891962,0.12813801352514917,0.7245046206748335,0.08769453772657547,199,47,22,88
