model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,bg_recall_mean,bg_recall_std,fg_recall_mean,fg_recall_std,fg_precision_mean,fg_precision_std,fg_f1_mean,fg_f1_std,tn,fp,fn,tp
random_forest,0.9505541346973573,0.03328256076137473,0.9508901940990226,0.03287557213149008,0.9501740558487134,0.03349690439348047,0.9920020189969255,0.008736966024513777,0.9469416785206258,0.04150118356486025,0.9548387096774194,0.03677985242255286,0.9380681818181819,0.04897582258979535,0.9459126984126984,0.03624701879992459,178,10,7,148
dense_fc,0.9418584825234442,0.03380708079158329,0.9418781260037626,0.034235564742445004,0.9413316498943812,0.034214662349006005,0.9776074886431424,0.010871033408869926,0.9418207681365576,0.033984951713269894,0.9419354838709678,0.04205937035614613,0.9303543499511242,0.04008494395575179,0.9358721449976077,0.037895896226789585,177,11,9,146
cnn3,0.9358908780903666,0.026473642561005466,0.9369247005919332,0.02644769776541896,0.9354609732481549,0.02661051619154181,0.9674941494975451,0.01807552642826853,0.9254623044096728,0.034768533349195885,0.9483870967741936,0.036779852422552856,0.9140854464953136,0.03800035029199796,0.9304244803319367,0.028561202986467533,174,14,8,147
cnn2,0.927152600170503,0.0434104037277364,0.9277703849860046,0.04350246822326958,0.9265941500148624,0.04384731921517219,0.9506997659799017,0.03348101450576779,0.9200568990042675,0.05651228825395293,0.935483870967742,0.060349312689902276,0.9088791137178234,0.06367182608096027,0.9207466698764243,0.048368320149085146,173,15,10,145
