model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,bg_recall_mean,bg_recall_std,fg_recall_mean,fg_recall_std,fg_precision_mean,fg_precision_std,fg_f1_mean,fg_f1_std,tn,fp,fn,tp
random_forest,0.9505541346973573,0.03328256076137473,0.9508901940990226,0.03287557213149008,0.9501740558487134,0.03349690439348047,0.9920020189969257,0.009140067115774786,0.9469416785206258,0.04150118356486025,0.9548387096774194,0.03677985242255286,0.9380681818181819,0.04897582258979535,0.9459126984126984,0.03624701879992459,178,10,7,148
cnn3,0.9359761295822677,0.02989034506319502,0.9364727205983574,0.030223080407527123,0.9354355058793848,0.0302059174858661,0.9679576010645621,0.018578506969595926,0.9310099573257468,0.03963514452223938,0.9419354838709678,0.04784644185223009,0.9197374668342411,0.042262065475396814,0.9298780707658285,0.03318561117965312,175,13,9,146
dense_fc,0.9301790281329924,0.0328445133655024,0.932326893956775,0.03193783845412959,0.9298367142361201,0.03293819540174226,0.9761987794245858,0.0066137496036574915,0.9098150782361308,0.04782087552657986,0.9548387096774194,0.03677985242255286,0.8988688730624215,0.0499543428710117,0.9253299120234605,0.03463899530180574,171,17,7,148
cnn2,0.8688832054560954,0.0541217738364912,0.8712889459918323,0.052336318490031904,0.868273901552312,0.05388898873913325,0.9363694764373882,0.03414717890819045,0.8458036984352774,0.08252102870853288,0.8967741935483872,0.057704980064510684,0.8325852787476814,0.07785636631506432,0.8616087923329703,0.0533752579023165,159,29,16,139
