source_row,slice,region_id,class,cnn2,cnn3,dense_fc,random_forest,mean_confidence,min_confidence,model_disagreement,n_correct,n_models,hardness_rank_key
13604,recon_00006.tiff,266602,2,0.4471587538719177,0.1366931349039077,0.2046692222356796,0.0225,0.7972447222471237,0.5528412461280823,0.4246587538719177,0,4,40.871817507743835
6986,recon_00006.tiff,115630,2,0.3538373708724975,0.3290799260139465,0.4559900462627411,0.0420999999999999,0.7047481567621231,0.5440099239349365,0.4138900462627412,0,4,40.86988012232781
6784,recon_00006.tiff,112504,1,0.5620291233062744,0.9061942100524902,0.7394457459449768,0.8628904761904763,0.7676398888735545,0.5620291233062744,0.3441650867462158,0,4,40.78213596343994
13439,recon_00006.tiff,264370,1,0.8838959336280823,0.8655939698219299,0.5769209861755371,0.6652261904761906,0.747909270025435,0.5769209861755371,0.30697494745254517,0,4,40.73005396127701
6508,recon_00006.tiff,108217,2,0.3242980539798736,0.2130695730447769,0.3781130015850067,0.4387380952380952,0.6614453227633521,0.5612619047619047,0.22566852219331832,0,4,40.66440661743141
13425,recon_00006.tiff,264079,1,0.8458383679389954,0.9689467549324036,0.8315821290016174,0.6547333333333333,0.8252751463015874,0.6547333333333333,0.3142134215990703,0,4,40.65948008826574
13408,recon_00006.tiff,263663,1,0.7636679410934448,0.840376615524292,0.620294451713562,0.7024000000000001,0.7316847520828247,0.620294451713562,0.22008216381072998,0,4,40.59978771209717
13282,recon_00006.tiff,261278,1,0.7874624133110046,0.9503278732299804,0.8959254026412964,0.678254761904762,0.8279926127717608,0.678254761904762,0.2720731113252184,0,4,40.59381834942046
13409,recon_00006.tiff,263664,1,0.6926114559173584,0.7841575145721436,0.9643486142158508,0.6961000000000002,0.7843043961763383,0.6926114559173584,0.27173715829849243,0,4,40.579125702381134
13417,recon_00006.tiff,263918,1,0.6946955919265747,0.7806231379508972,0.9083663821220398,0.7565142857142857,0.7850498494284494,0.6946955919265747,0.2136707901954651,0,4,40.51897519826889
13402,recon_00006.tiff,263579,1,0.7481008768081665,0.9060907363891602,0.8123745322227478,0.8844666666666666,0.8377582030216852,0.7481008768081665,0.15798985958099365,0,4,40.40988898277283
5829,recon_00006.tiff,91756,2,0.148090198636055,0.0074927904643118,0.174768328666687,0.0983190476190476,0.8928324148234867,0.825231671333313,0.1672755382023752,0,4,40.34204386686906
13540,recon_00006.tiff,265762,2,0.3017883002758026,0.0702471733093261,0.472667932510376,0.704957142857143,0.7150634267398289,0.527332067489624,0.6347099695478169,1,4,31.107377902058193
6900,recon_00006.tiff,113917,2,0.2783758044242859,0.264144092798233,0.6393212080001831,0.4714333333333332,0.6563420018116634,0.5285666666666669,0.37517711520195013,1,4,30.846610448535284
6544,recon_00006.tiff,108577,1,0.6434289216995239,0.7061811089515686,0.4448463916778564,0.5468619047619047,0.6129063859337852,0.5468619047619047,0.2613347172737122,1,4,30.714472812511808
6564,recon_00006.tiff,108922,2,0.4324508309364319,0.4137081801891327,0.5327454805374146,0.4750087301587299,0.5528944273626994,0.5249912698412701,0.11903730034828186,1,4,30.594046030507013
7446,recon_00006.tiff,128879,2,0.1597175896167755,0.4734371304512024,0.9905099272727966,0.8170999999999999,0.7936138092517853,0.5265628695487976,0.8307923376560211,2,4,21.304229468107224
8304,recon_00006.tiff,150254,2,0.3664355874061584,0.2980148792266845,0.524224042892456,0.8794714285714287,0.6848112512077604,0.524224042892456,0.5814565493447441,2,4,21.057232506452287
6441,recon_00006.tiff,106713,1,0.5521597862243652,0.6890538930892944,0.083305537700653,0.1013333333333333,0.7641437020699183,0.5521597862243652,0.6057483553886415,2,4,21.053588569164276
8862,recon_00006.tiff,164863,2,0.493642657995224,0.6149080991744995,0.5015800595283508,0.2274714285714286,0.5988435105834689,0.5015800595283508,0.3874366706030709,2,4,20.88585661107472
6414,recon_00006.tiff,106017,1,0.573981523513794,0.6154914498329163,0.3303159475326538,0.2754761904761905,0.6459202088344664,0.573981523513794,0.3400152593567258,2,4,20.76603373584293
6663,recon_00006.tiff,110550,1,0.447919100522995,0.6029198169708252,0.5259155035018921,0.3564857142857143,0.5811076189654214,0.5259155035018921,0.2464341026851109,2,4,20.72051859918322
8047,recon_00006.tiff,144557,2,0.1057090982794761,0.6836567521095276,0.5432931184768677,0.8977571428571431,0.7547494843789511,0.5432931184768677,0.7920480445776671,3,4,11.2487549261008
6677,recon_00006.tiff,110694,2,0.1596746295690536,0.6467532515525818,0.9939153790473938,0.8588619047619046,0.8349639727229163,0.6467532515525818,0.8342407494783401,3,4,11.187487497925758
10196,recon_00006.tiff,196623,2,0.4146234095096588,0.9943101406097412,0.5453807711601257,0.8945333333333334,0.754900216348966,0.5453807711601257,0.5796867311000824,3,4,11.034305959939957
6237,recon_00006.tiff,101804,1,0.5466011762619019,0.161177709698677,0.0939336568117141,0.0,0.8228724598884583,0.5466011762619019,0.5466011762619019,3,4,11.0
7150,recon_00006.tiff,119228,1,0.5317226648330688,0.2974554002285003,0.4286671578884125,0.0,0.7014000117778778,0.5317226648330688,0.5317226648330688,3,4,11.0
7135,recon_00006.tiff,119001,1,0.5225359201431274,0.0600275881588459,0.0323239676654338,0.0,0.8575460910797119,0.5225359201431274,0.5225359201431274,3,4,11.0
7144,recon_00006.tiff,119127,1,0.5143989324569702,0.253532350063324,0.403414636850357,0.0,0.7143629938364029,0.5143989324569702,0.5143989324569702,3,4,11.0
7136,recon_00006.tiff,119002,1,0.5034908652305603,0.2279467582702636,0.4169175922870636,0.0,0.7146566361188889,0.5034908652305603,0.5034908652305603,3,4,11.0
6104,recon_00006.tiff,97777,1,0.0385388471186161,0.516510009765625,0.0104997875168919,0.001,0.8666178402900696,0.516510009765625,0.515510009765625,3,4,10.999
6964,recon_00006.tiff,115174,1,0.5052915811538696,0.3505655229091644,0.1507200449705124,0.0016666666666666,0.7505848254760106,0.5052915811538696,0.503624914487203,3,4,10.998333333333333
7224,recon_00006.tiff,120884,1,0.5038100481033325,0.0478032194077968,0.0447742715477943,0.0026666666666666,0.8521414661010106,0.5038100481033325,0.5011433814366659,3,4,10.997333333333334
7082,recon_00006.tiff,117750,2,0.5155081748962402,0.975177764892578,0.4632844030857086,0.9453333333333334,0.7431837249596913,0.5155081748962402,0.5118933618068694,3,4,10.99638518691063
6382,recon_00006.tiff,105284,1,0.6011045575141907,0.1664870679378509,0.0822467431426048,0.0036666666666666,0.8371760180791219,0.6011045575141907,0.5974378908475241,3,4,10.996333333333334
6719,recon_00006.tiff,111381,1,0.5220558047294617,0.2552960216999054,0.1776427924633026,0.0055,0.7709042476415634,0.5220558047294617,0.5165558047294617,3,4,10.9945
13762,recon_00006.tiff,269193,1,0.519415557384491,0.2390875071287155,0.2562339007854461,0.0188,0.7513235261917114,0.519415557384491,0.5006155573844909,3,4,10.9812
