model,fraction,n_train,train_sec,train_sec_std,classify_sec_total,classify_sec_per_point,balanced_accuracy,roc_auc
cnn2,0.25,64,0.25981625000167696,0.04108212616755296,0.0008472200002870522,9.851395352175025e-06,0.5042280414620841,0.5425531914893617
cnn2,0.5,128,0.9383714499981579,0.7098840844907465,0.0007046399994578678,8.193488365789162e-06,0.7123567921440261,0.7850518276050191
cnn2,0.75,192,1.5004496999990806,1.1856425681478187,0.0006531699997140095,7.594999996674529e-06,0.7411347517730497,0.7948717948717949
cnn2,1.0,257,1.6769523999992089,0.3263764485663994,0.0006532800005516037,7.596279076181439e-06,0.8625204582651391,0.9181669394435352
cnn3,0.25,64,0.6682813499992335,0.03435046961093197,0.001963820000310079,2.283511628267534e-05,0.7558647026732133,0.8126022913256955
cnn3,0.5,128,1.3198338499987585,0.03450433605024559,0.0015170500002568586,1.7640116282056497e-05,0.879569012547736,0.906164757228587
cnn3,0.75,192,1.8221111500006373,0.5367730307488157,0.001536879999548546,1.787069766916914e-05,0.8700218221494818,0.9367157665030006
cnn3,1.0,257,2.6696450499985076,0.4432283190307724,0.0014799399999901653,1.7208604651048433e-05,0.9307146753955264,0.9738134206219312
dense_fc,0.25,64,0.09292495000045164,0.027406681022741484,9.884999926725868e-05,1.149418596130915e-06,0.9402618657937807,0.9735406437534098
dense_fc,0.5,128,0.1832521500018629,0.03472155925081971,7.27099999494385e-05,8.454651156911454e-07,0.9573104200763776,0.9648117839607202
dense_fc,0.75,192,0.16634945000078005,0.040826436358436656,8.428000001003966e-05,9.800000001167401e-07,0.9519912711402073,0.9849972722313148
dense_fc,1.0,257,0.20022764999885112,0.017484417247311538,7.02699995599687e-05,8.170930181391711e-07,0.9659028914348063,0.9877250409165304
random_forest,0.25,64,0.42537984999944456,0.022363736877442274,0.05420839000034902,0.0006303301162831282,0.9488543371522095,0.9893617021276595
random_forest,0.5,128,0.3942217999992863,0.0037560098026086786,0.05019535000028555,0.0005836668604684366,0.9648117839607202,0.9854064375340971
random_forest,0.75,192,0.3927721500003827,0.006344232754333411,0.05072670999979892,0.0005898454651139409,0.9765411893071467,0.9904528096017458
random_forest,1.0,257,0.395381450000059,0.009517869407221189,0.049978819999159894,0.0005811490697576732,0.9765411893071467,0.9907255864702673
