model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,bg_recall_mean,bg_recall_std,fg_recall_mean,fg_recall_std,fg_precision_mean,fg_precision_std,fg_f1_mean,fg_f1_std,tn,fp,fn,tp
dense_fc,0.9633802816901408,0.03391998472899239,0.9634508348794062,0.02742321198010571,0.9583837658481599,0.03747451038085345,0.9881261595547309,0.015597110299149758,0.963265306122449,0.05081591672648463,0.9636363636363636,0.03803000120609435,0.92987012987013,0.08896340882235407,0.9440761099365751,0.0490764811185199,237,9,4,106
random_forest,0.9521517996870109,0.042990532967147096,0.9377551020408162,0.05470483794238226,0.942914595961431,0.05159834136510312,0.9912801484230055,0.013307728267480032,0.9755102040816326,0.026608989408990397,0.9,0.08743356391668794,0.9421508316245157,0.061665054973939426,0.9199762801010675,0.07268718473671154,240,6,11,99
cnn3,0.9213223787167448,0.051407095948782754,0.9003599257884973,0.05797813521198742,0.9066991444187582,0.05955179216534575,0.9405269016697588,0.03746627637223634,0.955265306122449,0.04655709951448865,0.8454545454545455,0.08257228238447704,0.8990156220591003,0.10310513300298416,0.8698177791201047,0.08166803753328702,235,11,17,93
cnn2,0.7780125195618153,0.03416055341646728,0.7840816326530613,0.03508545747275947,0.7586018961813659,0.0347802423589883,0.8377291280148423,0.058978931773198046,0.7681632653061226,0.04055015251271768,0.8,0.051826155686324454,0.6084892860198756,0.04414628524407617,0.690503884572697,0.04167123649338058,189,57,22,88
