model,classify_sec_total_mean,classify_sec_per_point_mean,classify_sec_per_point_std
dense_fc,8.152749969667639e-05,9.479941825194929e-07,2.103535439402276e-07
cnn2,0.0007145775000026334,8.309040697705039e-06,1.7446620634868925e-06
cnn3,0.0016244225000264124,1.888863372123735e-05,3.7791716410898254e-06
random_forest,0.05127731749989835,0.0005962478779057948,3.98124801112183e-05
