model,classify_sec_total_mean,classify_sec_per_point_mean,classify_sec_per_point_std
dense_fc,6.992750013523619e-05,7.85702248710519e-07,8.929831185646625e-08
cnn2,0.0006482349999714643,7.2835393255220705e-06,9.357830824238473e-07
cnn3,0.0015754975001073036,1.7702219102329254e-05,1.5304478151894382e-06
random_forest,0.0479743499999131,0.0005390376404484619,3.654498308277182e-05
